id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"y1855","1855","104","22","0","-71.07688789","42.29164046","None","2025-05-01T19:46:12-04:00","STOPPED_AT","","","22","423"
"y3308","3308","184","10","1","-71.01233267","42.41006076","None","2025-05-01T19:46:10-04:00","STOPPED_AT","","","116","5713"
"G-10220","3682-3805","300","660","1","-71.09396","42.37695","None","2025-05-01T19:45:50-04:00","STOPPED_AT","","","Green-D","Union Square-02"
"y1971","1971","123","39","1","-71.12910286","42.38123985","None","2025-05-01T19:46:09-04:00","IN_TRANSIT_TO","","","78","2160"
"y3286","3286","135","1","1","-71.12006","42.37729","None","2025-05-01T19:45:35-04:00","STOPPED_AT","","","66","22549"
"G-10427","3620-3884","30","610","1","-71.06243","42.35614","None","2025-05-01T19:46:03-04:00","IN_TRANSIT_TO","","","Green-E","70201"
"B-5482D393","0791","225","60","0","-71.0302","42.37437","None","2025-05-01T19:45:26-04:00","STOPPED_AT","","","Blue","70047"
"1849","1849","246","80","0","-71.13465881347656","42.23723602294922","10.7","2025-05-01T19:45:41-04:00","STOPPED_AT","","","CR-Franklin","FB-0095-04"
"B-5482D39D","0786","235","40","0","-71.00478","42.38689","None","2025-05-01T19:45:44-04:00","STOPPED_AT","","","Blue","70051"
"y2014","2014","236","26","1","-71.036131179","42.39159567","None","2025-05-01T19:46:08-04:00","STOPPED_AT","","","104","5606"
"y1413","1413","334","2","0","-71.05992825","42.360030489","None","2025-05-01T19:46:10-04:00","STOPPED_AT","","","354","4510"
"y1324","1324","135","4","0","-71.04135","42.34739","None","2025-05-01T19:46:04-04:00","IN_TRANSIT_TO","","","743","74624"
"G-10104","3838-3611","331","710","1","-71.1173","42.40839","None","2025-05-01T19:46:01-04:00","STOPPED_AT","","","Green-E","70511"
"y1865","1865","353","5","0","-71.07050285","42.350645519","None","2025-05-01T19:46:12-04:00","STOPPED_AT","","","504","177"
"y1219","1219","335","18","1","-71.085802509","42.30136378","None","2025-05-01T19:46:13-04:00","IN_TRANSIT_TO","","","28","383"
"y1946","1946","299","10","0","-71.13946753","42.38616176","None","2025-05-01T19:46:07-04:00","STOPPED_AT","","","74","2180"
"O-5482D37B","1488","215","150","0","-71.09613","42.33078","None","2025-05-01T19:45:35-04:00","STOPPED_AT","","","Orange","70008"
